"","Country","Date_confirmation","confirmed","suspected","cumulative_confirmed","cumulative_suspected","confirmed_suspected","cumulative_confirmed_suspected","pop2022","daily_confirmed_per_1M","daily_suspected_per_1M","daily_confirmed_suspected_per_1M","cumulative_confirmed_per_1M","cumulative_suspected_per_1M","cumulative_confirmed_suspected_per_1M","daily_confirmed_07d","daily_suspected_07d","daily_confirmed_suspected_07d"
"1","Andorra",2022-07-26,2,0,3,0,2,3,77463,25.82,0,25.82,38.73,0,38.73,NA,NA,NA
"2","Andorra",2022-07-25,1,0,1,0,1,1,77463,12.91,0,12.91,12.91,0,12.91,NA,NA,NA
"3","Argentina",2022-07-08,3,0,9,0,3,9,46010234,0.07,0,0.07,0.2,0,0.2,NA,NA,NA
"4","Argentina",2022-06-09,1,0,3,0,1,3,46010234,0.02,0,0.02,0.07,0,0.07,2.28571428571429,0,2.28571428571429
"5","Argentina",2022-07-22,5,0,18,0,5,18,46010234,0.11,0,0.11,0.39,0,0.39,2.14285714285714,0,2.14285714285714
"6","Argentina",2022-07-13,3,0,12,0,3,12,46010234,0.07,0,0.07,0.26,0,0.26,2.28571428571429,0,2.28571428571429
"7","Argentina",2022-06-30,1,0,6,0,1,6,46010234,0.02,0,0.02,0.13,0,0.13,2,0,2
"8","Argentina",2022-06-28,1,0,5,0,1,5,46010234,0.02,0,0.02,0.11,0,0.11,2.14285714285714,0,2.14285714285714
"9","Argentina",2022-05-27,2,0,2,0,2,2,46010234,0.04,0,0.04,0.04,0,0.04,1.57142857142857,0,1.57142857142857
"10","Argentina",2022-07-14,1,0,13,0,1,13,46010234,0.02,0,0.02,0.28,0,0.28,1.28571428571429,0,1.28571428571429
"11","Argentina",2022-07-26,2,0,20,0,2,20,46010234,0.04,0,0.04,0.43,0,0.43,1.28571428571429,0,1.28571428571429
"12","Argentina",2022-06-21,1,0,4,0,1,4,46010234,0.02,0,0.02,0.09,0,0.09,1.28571428571429,0,1.28571428571429
"13","Australia",2022-06-04,1,0,6,0,1,6,26068792,0.04,0,0.04,0.23,0,0.23,1.28571428571429,0,1.28571428571429
"14","Australia",2022-06-30,1,0,12,0,1,12,26068792,0.04,0,0.04,0.46,0,0.46,1.42857142857143,0,1.42857142857143
"15","Australia",2022-06-03,1,0,5,0,1,5,26068792,0.04,0,0.04,0.19,0,0.19,1.85714285714286,0,1.85714285714286
