"","state","Date_confirmation","confirmed","cumulative_confirmed","state_07d","pop2021","cumulative_confirmed_per_1M"
"1","",2022-06-30,1,3,4.14285714285714,NA,NA
"2","",2022-07-22,1,4,4.57142857142857,NA,NA
"3","",2022-06-14,1,1,2.14285714285714,NA,NA
"4","",2022-06-17,1,2,1.28571428571429,NA,NA
"5","Alabama",2022-07-15,2,2,28.1428571428571,5039877,0.396835081491076
"6","Alabama",2022-07-20,2,4,15.4285714285714,5039877,0.793670162982152
"7","Alaska",NA,NA,NA,NA,732673,NA
"8","Arizona",2022-07-14,8,11,7,7276316,1.51175402497638
"9","Arizona",2022-07-22,7,29,4.85714285714286,7276316,3.98553333857408
"10","Arizona",2022-07-20,11,22,19.2857142857143,7276316,3.02350804995275
"11","Arizona",2022-07-07,2,3,5.14285714285714,7276316,0.412296552266284
"12","Arizona",2022-06-07,1,1,1,7276316,0.137432184088761
"13","Arkansas",2022-07-21,2,3,5.42857142857143,3025891,0.991443512010181
"14","Arkansas",2022-07-05,1,1,8.57142857142857,3025891,0.33048117067006
"15","California",2022-06-13,7,15,2.28571428571429,39237836,0.382284079071027
"16","California",2022-06-08,1,8,1,39237836,0.203884842171215
"17","California",2022-05-27,1,2,1.28571428571429,39237836,0.0509712105428036
"18","California",2022-06-02,1,5,1,39237836,0.127428026357009
"19","California",2022-07-13,11,161,10.1428571428571,39237836,4.10318244869569
"20","California",2022-07-11,12,148,5.42857142857143,39237836,3.77186958016747
"21","California",2022-07-20,89,356,22.7142857142857,39237836,9.07287547661905
"22","California",2022-06-03,1,6,1.14285714285714,39237836,0.152913631628411
"23","California",2022-06-21,13,37,4.42857142857143,39237836,0.942967395041867
"24","California",2022-06-24,3,51,2.85714285714286,39237836,1.29976586884149
"25","California",2022-05-29,1,3,1.14285714285714,39237836,0.0764568158142055
"26","California",2022-05-26,1,1,1.42857142857143,39237836,0.0254856052714018
"27","California",2022-07-14,19,180,7.28571428571429,39237836,4.58740894885233
"28","California",2022-07-05,16,111,9.85714285714286,39237836,2.8289021851256
"29","California",2022-06-15,1,16,2.14285714285714,39237836,0.407769684342429
"30","California",2022-07-07,19,136,6.14285714285714,39237836,3.46604231691065
"31","California",2022-06-22,3,40,1.71428571428571,39237836,1.01942421085607
"32","California",2022-07-15,86,266,28,39237836,6.77917100219288
"33","California",2022-05-31,1,4,1,39237836,0.101942421085607
"34","California",2022-06-17,3,24,1.42857142857143,39237836,0.611654526513644
"35","California",2022-07-06,6,117,2.85714285714286,39237836,2.98181581675401
"36","California",2022-06-27,11,62,6.85714285714286,39237836,1.58010752682691
"37","California",2022-06-28,4,66,4.42857142857143,39237836,1.68204994791252
"38","California",2022-06-07,1,7,1,39237836,0.178399236899813
"39","California",2022-07-18,1,267,10.4285714285714,39237836,6.80465660746428
"40","California",2022-07-01,6,95,4.42857142857143,39237836,2.42113250078317
"41","California",2022-06-29,14,80,4.14285714285714,39237836,2.03884842171215
"42","California",2022-07-22,1,357,7.71428571428571,39237836,9.09836108189045
"43","California",2022-07-12,2,150,6,39237836,3.82284079071027
